apartment_id,apartment_name,cohort_role,search_month,month_start_date,year,month,cost_category,cost_category_name_ko,cost_amount_krw,collection_status,data_quality_status,is_observed,is_negative_amount,expected_component_count,observed_component_count,source_key_match,source_system,operation,collected_at_kst,household_count,management_area_m2,feature_usable,feature_reliable,per_household_available,per_m2_available,cost_per_household_krw,cost_per_management_m2_krw,source_quality_weight
A15784601,마곡현대아파트,TARGET,202512,2025-12-01,2025,12,elevator,승강기유지비,0.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpElevatorMntncCostInfoV2,2026-07-20T09:10:34+09:00,202.0,20234.98,True,True,True,True,0.0,0.0,1.0
A15784601,마곡현대아파트,TARGET,202512,2025-12-01,2025,12,repairs,수선비,661090.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpRepairsCostInfoV2,2026-07-20T09:10:34+09:00,202.0,20234.98,True,True,True,True,3272.7227722772277,32.670652503733635,1.0
A15784601,마곡현대아파트,TARGET,202512,2025-12-01,2025,12,facility,시설유지비,1057090.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpFacilityMntncCostInfoV2,2026-07-20T09:10:40+09:00,202.0,20234.98,True,True,True,True,5233.118811881188,52.24072373681615,1.0
A15784601,마곡현대아파트,TARGET,202601,2026-01-01,2026,1,labor,인건비,6792630.0,SUCCESS,OBSERVED,True,False,9,9,True,K-APT_COMMON_COST_V2,getHsmpLaborCostInfoV2,2026-07-20T09:10:47+09:00,202.0,20234.98,True,True,True,True,33626.88118811881,335.68750747468,1.0
A15784601,마곡현대아파트,TARGET,202601,2026-01-01,2026,1,cleaning,청소비,2975400.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpCleaningCostInfoV2,2026-07-20T09:10:48+09:00,202.0,20234.98,True,True,True,True,14729.70297029703,147.04239885584272,1.0
A15784601,마곡현대아파트,TARGET,202601,2026-01-01,2026,1,guard,경비비,9588960.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpGuardCostInfoV2,2026-07-20T09:10:53+09:00,202.0,20234.98,True,True,True,True,47470.09900990099,473.88037942216897,1.0
A15784601,마곡현대아파트,TARGET,202601,2026-01-01,2026,1,elevator,승강기유지비,462000.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpElevatorMntncCostInfoV2,2026-07-20T09:10:57+09:00,202.0,20234.98,True,True,True,True,2287.128712871287,22.831749771929598,1.0
A15784601,마곡현대아파트,TARGET,202601,2026-01-01,2026,1,repairs,수선비,809090.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpRepairsCostInfoV2,2026-07-20T09:10:58+09:00,202.0,20234.98,True,True,True,True,4005.3960396039606,39.98471953023922,1.0
A15784601,마곡현대아파트,TARGET,202601,2026-01-01,2026,1,facility,시설유지비,1057090.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpFacilityMntncCostInfoV2,2026-07-20T09:11:02+09:00,202.0,20234.98,True,True,True,True,5233.118811881188,52.24072373681615,1.0
A15784601,마곡현대아파트,TARGET,202602,2026-02-01,2026,2,labor,인건비,6796290.0,SUCCESS,OBSERVED,True,False,9,9,True,K-APT_COMMON_COST_V2,getHsmpLaborCostInfoV2,2026-07-20T09:11:05+09:00,202.0,20234.98,True,True,True,True,33645.0,335.8683823754706,1.0
